Subj ROI1 ROI2 Y
SBJ14 L_LatOccipital lhKnobDrawn_gray 0.178207089931
SBJ15 L_LatOccipital lhKnobDrawn_gray -0.081443362902
SBJ16 L_LatOccipital lhKnobDrawn_gray -0.258854754259
SBJ17 L_LatOccipital lhKnobDrawn_gray 0.072818076488
SBJ01 R_Amygdala lhKnobDrawn_gray 0.045333257218
SBJ02 R_Amygdala lhKnobDrawn_gray 0.116671415373
SBJ03 R_Amygdala lhKnobDrawn_gray -0.16027166104
SBJ04 R_Amygdala lhKnobDrawn_gray -0.22633739816
SBJ05 R_Amygdala lhKnobDrawn_gray 0.309371661686
SBJ06 R_Amygdala lhKnobDrawn_gray -0.191918673116
SBJ07 R_Amygdala lhKnobDrawn_gray 0.388921243784
SBJ09 R_Amygdala lhKnobDrawn_gray -0.180707658767
SBJ10 R_Amygdala lhKnobDrawn_gray 0.147165381302
SBJ11 R_Amygdala lhKnobDrawn_gray 0.287537653663
SBJ12 R_Amygdala lhKnobDrawn_gray 0.327874822754
SBJ13 R_Amygdala lhKnobDrawn_gray 0.09569418199
SBJ14 R_Amygdala lhKnobDrawn_gray 0.072950749116
SBJ15 R_Amygdala lhKnobDrawn_gray -0.232370918136
SBJ16 R_Amygdala lhKnobDrawn_gray -0.178397448113
SBJ17 R_Amygdala lhKnobDrawn_gray 0.061416794195
SBJ01 R_Fusiform lhKnobDrawn_gray 0.367453637064
SBJ02 R_Fusiform lhKnobDrawn_gray 0.165119351689
SBJ03 R_Fusiform lhKnobDrawn_gray -0.328362395996
SBJ04 R_Fusiform lhKnobDrawn_gray -0.134778538117
SBJ05 R_Fusiform lhKnobDrawn_gray 0.228734780004
SBJ06 R_Fusiform lhKnobDrawn_gray 0.069802829976
SBJ07 R_Fusiform lhKnobDrawn_gray 0.00794850775599998
SBJ09 R_Fusiform lhKnobDrawn_gray -0.032306950315
SBJ10 R_Fusiform lhKnobDrawn_gray -0.108976958161
SBJ11 R_Fusiform lhKnobDrawn_gray 0.535065074556
SBJ12 R_Fusiform lhKnobDrawn_gray 0.138793688246
SBJ13 R_Fusiform lhKnobDrawn_gray 0.113509866674
SBJ14 R_Fusiform lhKnobDrawn_gray 0.059701497308
SBJ15 R_Fusiform lhKnobDrawn_gray -0.119055797204
SBJ16 R_Fusiform lhKnobDrawn_gray -0.032846978639
SBJ17 R_Fusiform lhKnobDrawn_gray -0.039698523082
SBJ01 R_LatOccipital lhKnobDrawn_gray 0.184949705282
SBJ02 R_LatOccipital lhKnobDrawn_gray 0.132578998345
SBJ03 R_LatOccipital lhKnobDrawn_gray -0.343874850352
SBJ04 R_LatOccipital lhKnobDrawn_gray 0.12208959529
SBJ05 R_LatOccipital lhKnobDrawn_gray 0.228485354813
SBJ06 R_LatOccipital lhKnobDrawn_gray 0.489154560774
SBJ07 R_LatOccipital lhKnobDrawn_gray 0.449323126232
SBJ09 R_LatOccipital lhKnobDrawn_gray -0.032865124172
SBJ10 R_LatOccipital lhKnobDrawn_gray 0.030822506415
SBJ11 R_LatOccipital lhKnobDrawn_gray 0.592318844458
SBJ12 R_LatOccipital lhKnobDrawn_gray 0.017109256414
SBJ13 R_LatOccipital lhKnobDrawn_gray 0.102455227762
SBJ14 R_LatOccipital lhKnobDrawn_gray 0.1471753768
SBJ15 R_LatOccipital lhKnobDrawn_gray -0.02837318081
SBJ16 R_LatOccipital lhKnobDrawn_gray 0.065423682687
SBJ17 R_LatOccipital lhKnobDrawn_gray 0.244755521382
SBJ01 rhKnobDrawn_gray lhKnobDrawn_gray 0.470280692187
SBJ02 rhKnobDrawn_gray lhKnobDrawn_gray 0.134223448552
SBJ03 rhKnobDrawn_gray lhKnobDrawn_gray -0.479771701123
SBJ04 rhKnobDrawn_gray lhKnobDrawn_gray 0.626637410172
SBJ05 rhKnobDrawn_gray lhKnobDrawn_gray -0.018593977727
SBJ06 rhKnobDrawn_gray lhKnobDrawn_gray 0.303499620818
SBJ07 rhKnobDrawn_gray lhKnobDrawn_gray 0.0040182485589999
SBJ09 rhKnobDrawn_gray lhKnobDrawn_gray 0.111504394008
SBJ10 rhKnobDrawn_gray lhKnobDrawn_gray 0.293780277144
SBJ11 rhKnobDrawn_gray lhKnobDrawn_gray 0.016045982329
SBJ12 rhKnobDrawn_gray lhKnobDrawn_gray 0.189503849383
SBJ13 rhKnobDrawn_gray lhKnobDrawn_gray -0.137743266612
SBJ14 rhKnobDrawn_gray lhKnobDrawn_gray 0.124833915143
SBJ15 rhKnobDrawn_gray lhKnobDrawn_gray 0.270223028031
SBJ16 rhKnobDrawn_gray lhKnobDrawn_gray 0.578924598296
SBJ17 rhKnobDrawn_gray lhKnobDrawn_gray 0.097638036389
SBJ01 rpSTS_gray9 lhKnobDrawn_gray 0.179957608713
SBJ02 rpSTS_gray9 lhKnobDrawn_gray 0.210148307423
SBJ03 rpSTS_gray9 lhKnobDrawn_gray -0.048673858058
SBJ04 rpSTS_gray9 lhKnobDrawn_gray 0.22699292257
SBJ05 rpSTS_gray9 lhKnobDrawn_gray -0.056875584274
SBJ06 rpSTS_gray9 lhKnobDrawn_gray -0.196447255192
SBJ07 rpSTS_gray9 lhKnobDrawn_gray 0.044245879548
SBJ09 rpSTS_gray9 lhKnobDrawn_gray -0.098462863954
SBJ10 rpSTS_gray9 lhKnobDrawn_gray 0.28790591314
SBJ11 rpSTS_gray9 lhKnobDrawn_gray 0.691193285252
SBJ12 rpSTS_gray9 lhKnobDrawn_gray 0.187285132714
SBJ13 rpSTS_gray9 lhKnobDrawn_gray 0.030503361118
SBJ14 rpSTS_gray9 lhKnobDrawn_gray 0.125452228367
SBJ15 rpSTS_gray9 lhKnobDrawn_gray -0.128426602063
SBJ16 rpSTS_gray9 lhKnobDrawn_gray -0.216467868081
SBJ17 rpSTS_gray9 lhKnobDrawn_gray -0.015821468748
SBJ01 L_Bank_STS R_Amygdala 0.224409818847
SBJ02 L_Bank_STS R_Amygdala 0.182797706204
SBJ03 L_Bank_STS R_Amygdala 0.044258000304
SBJ04 L_Bank_STS R_Amygdala 0.177491819854
SBJ05 L_Bank_STS R_Amygdala 0.161577052115
SBJ06 L_Bank_STS R_Amygdala -0.296983191276
SBJ07 L_Bank_STS R_Amygdala 0.03099849781
SBJ09 L_Bank_STS R_Amygdala 0.211668638723
SBJ10 L_Bank_STS R_Amygdala 0.123472715868
SBJ11 L_Bank_STS R_Amygdala 0.414575359178
SBJ12 L_Bank_STS R_Amygdala 0.283449942315
SBJ13 L_Bank_STS R_Amygdala 0.190402300683
